,AA,C,C_depth,F,F_depth,F_fit,F_fit_depth,F_fit_params,F_fit_r,F_r,Psuc,beta,hamiltonian,nqubits,trial
2,639.2166511415417,5113.73290433011,79.90208615522775,1418.6053020706104,192.42251114832365,954.6739363072202,96.81961197975954,[2.76779083],3,12,0.01562500186264515,52,maxcut,8,1
3,912.1660560708265,7297.328448566612,114.02075700885331,1695.4481049074352,277.1273650168929,1150.3691757635243,134.23130570796133,[4.96239629],4,15,0.015625,77,maxcut,8,1
4,1184.5860922692373,9476.688738153898,148.07326153365466,1943.975844728184,352.84192475777553,1056.8676408709748,187.9031842093533,[2.46979509],5,17,0.015625,102,maxcut,8,1
5,1456.7800792931025,11654.24063434482,182.09750991163781,2173.2375451648863,430.4968254943338,1231.2126154422551,201.57259422366548,[2.98142036],3,19,0.015625,127,maxcut,8,1
6,1728.856758419339,13830.854067354712,216.10709480241738,2387.3549448895997,494.0470207837751,1224.856910802207,296.8893572736508,[2.10154899],8,20,0.015625,152,maxcut,8,1
7,2000.8647613090907,16006.918090472725,250.10809516363634,2590.171978980977,557.5946491403017,1278.929338219168,278.81203312895,[3.41714779],4,21,0.015625,177,maxcut,8,1
8,2272.8291016807266,18182.632813445813,284.1036377100908,2783.4646222385377,621.360750108786,1420.83369917974,314.68328731408195,[5.47442265],5,22,0.015625,202,maxcut,8,1
9,2544.763960725379,20358.111685803033,318.0954950906724,2968.7239530856455,685.4860792437835,1390.5018396501937,337.5034782741659,[3.67636654],3,23,0.015625,227,maxcut,8,1
10,2816.6779782744998,22533.423826195998,352.08474728431247,3147.169858055091,750.0637845193099,1455.8925610201916,385.68679116187974,[4.95405019],5,24,0.015625,252,maxcut,8,1
11,3088.5767185794075,24708.61374863526,386.07208982242594,3319.7978857371872,815.1572464991632,1566.0304433297829,417.1249805890125,[5.79239508],5,25,0.015625,277,maxcut,8,1
12,3360.4639270242687,26883.71141619415,420.0579908780336,3487.425288825113,880.8104389236204,1840.9026909048548,428.943540042538,[5.39334559],2,26,0.015625,302,maxcut,8,1
13,3632.3422171824227,29058.73773745938,454.04277714780284,3650.1009910822204,924.565692334151,1991.6186167844353,462.5688467669625,[5.79214008],2,26,0.015625,327,maxcut,8,1
14,3904.213468313505,31233.70774650804,488.0266835391881,3808.74821973808,990.6600507788521,1510.6575193833453,545.936612575532,[2.8213555],6,27,0.015625,352,maxcut,8,1
15,4176.079066331269,33408.63253065015,522.0098832914086,3964.025470831989,1033.552336831676,1556.1740008213671,567.0840245880768,[2.99283514],5,27,0.015625,377,maxcut,8,1
16,4447.940055725784,35583.52044580627,555.992506965723,4115.349365117125,1100.2368738526366,1591.5827641704388,600.4328427533026,[3.16591669],5,28,0.015625,402,maxcut,8,1
17,4719.797238602477,37758.37790881981,589.9746548253096,4264.097498976571,1167.6022700018452,1842.7947346064939,636.1637706292115,[6.78733055],7,29,0.015625,427,maxcut,8,1
