,AA,C,C_depth,F,F_depth,F_fit,F_fit_depth,F_fit_params,F_fit_r,F_r,Psuc,beta,hamiltonian,nqubits,trial
12,837.3872609873234,1674.7745219746469,418.6936304936617,708.6202289223553,510.668192005268,499.0516495122897,427.10314374866243,[5.04874718],2,8,0.25,302,rbm,2,3
13,905.353535171622,1810.707070343244,452.676767585811,756.3285991598931,545.3012761914866,535.3818918317437,469.73813498609815,[4.28236353],3,8,0.25,327,rbm,2,3
14,973.3185109007485,1946.637021801497,486.65925545037425,803.1204381843875,596.6954037122098,576.624478123364,497.460316334704,[8.86000789],3,9,0.25,352,rbm,2,3
15,1041.2824442045671,2082.5648884091343,520.6412221022836,849.4231543540608,631.3545414230259,603.5255920815732,541.3637384118343,[6.3375844],4,9,0.25,377,rbm,2,3
16,1109.2455279520436,2218.4910559040873,554.6227639760218,895.6178688921104,665.9394626667336,644.0000952222317,573.7581292935613,[7.19292929],4,9,0.25,402,rbm,2,3
17,1177.2079101966008,2354.4158203932016,588.6039550983004,941.7212468716051,700.461694273926,680.8351644012473,599.4174923422737,[9.21913618],3,9,0.25,427,rbm,2,3
18,1245.1697064783236,2490.3394129566473,622.5848532391618,987.7466731207717,734.9304907141563,716.0445299962001,633.2277658725876,[9.52016989],3,9,0.25,452,rbm,2,3
19,1313.1310082846078,2626.2620165692156,656.5655041423039,1032.8855243372136,787.7240237210793,750.5589802573218,682.5206207286644,[13.3523535],7,10,0.25,477,rbm,2,3
20,1381.0918889995364,2762.183777999073,690.5459444997682,1077.8222895635886,822.2357527844438,790.6896501370165,700.8500565013085,[10.11206663],3,10,0.25,502,rbm,2,3
0,12.185751988291077,20.13631268889048,7.374366589075944,22.445716598252137,10.860321632502387,22.443166426513606,10.853670743623432,[1.08711591],2,2,0.3662222921848297,2,rbm,2,4
1,88.7547956994713,177.5095702381541,44.377403139933406,121.90114053339319,68.6113084669094,93.26203270596172,56.8922987892515,[3.11410331],3,4,0.2500000596046448,27,rbm,2,4
2,157.2660690757638,314.5321381515276,78.6330345378819,188.67721051871226,106.79023618717747,129.43176771111104,85.66920881472174,[3.70658988],2,4,0.25,52,rbm,2,4
3,225.4324030407792,450.8648060815584,112.7162015203896,248.3690247980748,153.52526544897833,166.88747286004883,120.0219879227676,[4.06853088],2,5,0.25,77,rbm,2,4
4,293.49940661434493,586.9988132286899,146.74970330717247,305.4445229202883,201.18009418659142,210.3728657184045,165.39620748609667,[5.34408608],4,6,0.25,102,rbm,2,4
5,361.52423368902305,723.0484673780461,180.76211684451152,359.34701329221934,236.97583856285684,239.23823980263785,188.35799143216448,[4.55756874],2,6,0.25,127,rbm,2,4
6,429.52724607436033,859.0544921487207,214.76362303718017,412.4534538993952,272.27355627421286,280.92528557243975,221.90666554092033,[5.2162486],2,6,0.25,152,rbm,2,4
7,497.51751534961215,995.0350306992243,248.75875767480608,463.63361630158977,321.0406813988578,315.4963196455755,256.033744130742,[5.32601546],2,7,0.25,177,rbm,2,4
8,565.4996955286963,1130.9993910573926,282.74984776434815,513.9263457190025,356.14587648176905,352.1264468348719,290.0456187462816,[5.50116367],2,7,0.25,202,rbm,2,4
9,633.4764202580504,1266.9528405161009,316.7382101290252,563.8917586863176,391.03882291743923,380.17310451819344,324.62416155032554,[5.14628507],2,7,0.25,227,rbm,2,4
10,701.449291823552,1402.898583647104,350.724645911776,612.7126772459463,441.07378919607527,415.0452198580166,358.65413343902696,[5.2582272],2,8,0.25,252,rbm,2,4
11,769.4193409964488,1538.8386819928976,384.7096704982244,660.7607607461507,475.93415215970174,448.4926646743288,402.2198722888778,[3.91071788],3,8,0.25,277,rbm,2,4
12,837.3872609873234,1674.7745219746469,418.6936304936617,708.6201971432854,510.668192005268,483.0623204649801,436.2987027633337,[3.96113812],3,8,0.25,302,rbm,2,4
13,905.353535171622,1810.707070343244,452.676767585811,756.328590694959,545.3012761914866,519.1959528902452,460.7107701192933,[5.53906987],2,8,0.25,327,rbm,2,4
14,973.3185109007485,1946.637021801497,486.65925545037425,803.1204215742615,596.6954037122098,556.6287471157445,494.4308616074334,[5.88997341],2,9,0.25,352,rbm,2,4
15,1041.2824442045671,2082.5648884091343,520.6412221022836,849.4231455855817,631.3545414230259,595.9511697084655,530.6908689033487,[9.80705457],3,9,0.25,377,rbm,2,4
16,1109.2455279520436,2218.4910559040873,554.6227639760218,895.6178688921104,665.9394626667336,627.1834773435996,574.7655502704096,[6.69792775],4,9,0.25,402,rbm,2,4
17,1177.2079101966008,2354.4158203932016,588.6039550983004,941.7212468716051,700.461694273926,664.9333941673475,598.6616319875176,[10.05490665],3,9,0.25,427,rbm,2,4
18,1245.1697064783236,2490.3394129566473,622.5848532391618,987.7466731207717,734.9304907141563,696.7106109623462,642.2027274010711,[7.11944737],4,9,0.25,452,rbm,2,4
19,1313.1310082846078,2626.2620165692156,656.5655041423039,1032.8855243372136,787.7240237210793,733.7163752614565,666.6920425566452,[10.20701364],3,10,0.25,477,rbm,2,4
20,1381.0918889995364,2762.183777999073,690.5459444997682,1077.8222895635886,822.2357527844438,764.5137497119867,710.8496760623993,[6.9313178],4,10,0.25,502,rbm,2,4
0,11.484895258905933,17.941656085202,7.351763877406577,20.31456087856353,10.826119330511123,20.296983972432695,10.811725377426232,[1.14870374],2,2,0.4097594916820526,2,rbm,2,5
1,88.74351081605039,177.46486267096964,44.37729584002176,123.59719741871358,60.70376039497127,97.48977200732536,50.88466292921848,[3.12975085],2,3,0.2500624358654022,27,rbm,2,5
2,157.26605959214288,314.53210043671226,78.63303448296512,189.1704966053755,106.79023601935744,141.92058347697719,85.99708141890869,[3.41824427],2,4,0.2500000298023224,52,rbm,2,5
3,225.4324030407792,450.8648060815584,112.7162015203896,248.64575981675736,153.52526544897833,182.1425934883248,125.72961157852147,[4.50579095],3,5,0.25,77,rbm,2,5
4,293.49940661434493,586.9988132286899,146.74970330717247,305.6320524881404,201.18009418659142,216.82207691454147,164.34831933398092,[5.8364046],4,6,0.25,102,rbm,2,5
5,361.52423368902305,723.0484673780461,180.76211684451152,359.40839526265,236.97583856285684,254.49786504925322,197.44178989589992,[6.68960058],4,6,0.25,127,rbm,2,5
6,429.52724607436033,859.0544921487207,214.76362303718017,412.47301195100687,272.27355627421286,293.18290428225924,234.13599129976456,[8.66569069],5,6,0.25,152,rbm,2,5
7,497.51751534961215,995.0350306992243,248.75875767480608,463.65389084577674,321.0406813988578,328.88604095323313,268.5164242390257,[8.74603637],5,7,0.25,177,rbm,2,5
8,565.4996955286963,1130.9993910573926,282.74984776434815,513.9338264889905,356.14587648176905,364.979819238025,301.6632478782314,[9.51823933],5,7,0.25,202,rbm,2,5
9,633.4764202580504,1266.9528405161009,316.7382101290252,563.8944933163555,391.03882291743923,402.64088389223895,334.58138047499267,[10.48192],5,7,0.25,227,rbm,2,5
10,701.449291823552,1402.898583647104,350.724645911776,612.7163054119608,441.07378919607527,428.139339038146,368.26559017818585,[3.79608313],3,8,0.25,252,rbm,2,5
11,769.4193409964488,1538.8386819928976,384.7096704982244,660.7622526710197,475.93415215970174,463.7696495476635,402.12212917899615,[3.95316445],3,8,0.25,277,rbm,2,5
