,AA,C,C_depth,F,F_depth,F_fit,F_fit_depth,F_fit_params,F_fit_r,F_r,Psuc,beta,hamiltonian,nqubits,trial
13,20624.70841085815,933367.7553480334,455.7459742910319,89164.01312163033,1230.3254745732702,48140.44177440274,535.831685214898,[3.78969298],8,38,0.00048828125,327,weighted_maxcut,12,0
14,22162.73810111923,1002971.0336616242,489.73195003008993,92028.01591182766,1331.8524172796542,43451.78433068618,555.5518161587987,[2.61249233],6,40,0.00048828125,352,weighted_maxcut,12,0
15,23700.723601766244,1072572.312181566,523.7169493074052,94806.09316762238,1435.376806411579,65049.90637005335,534.5266148096372,[5.03511582],2,42,0.00048828125,377,weighted_maxcut,12,0
16,25238.673063358627,1142171.959760073,557.7011522265982,97507.40240197125,1540.877923414592,66068.15744899101,568.6111570974876,[5.04964841],2,44,0.00048828125,402,weighted_maxcut,12,0
17,26776.5927481046,1211770.2597923388,591.6846971642279,100131.77770868407,1620.6120934345736,46977.48669873647,628.8387804994179,[3.17550291],4,45,0.00048828125,427,weighted_maxcut,12,0
18,28314.48754679698,1281367.4336103806,625.6676921925687,102691.53044144322,1729.1660952969344,44573.403800094246,692.9390139337195,[2.67762863],6,47,0.00048828125,452,weighted_maxcut,12,0
19,29852.361334749876,1350963.656590895,659.650222944773,105189.50083617076,1810.4023200705776,47909.560379490315,696.601071164529,[3.32539956],4,48,0.00048828125,477,weighted_maxcut,12,0
20,31390.21722234971,1420559.069493903,693.6323581513199,107630.12961966252,1921.9830655510034,45935.17052276423,745.8181545599543,[2.93043888],5,50,0.00048828125,502,weighted_maxcut,12,0
0,13.57724311449971,24.85897716659499,7.415491367760069,28.053661490912123,10.922616274434082,28.053661372676526,10.92261627271958,[1.00000004],2,2,0.2983023524284363,2,weighted_maxcut,12,1
1,1083.6812800151308,25282.7421893896,46.44927784566336,9707.296311728807,98.96150726467657,8456.081275437298,63.32178713767824,[2.08449483],3,7,0.0018371930345892906,27,weighted_maxcut,12,1
2,2494.859370441613,76730.38795050429,81.11940320561634,20406.914702276405,198.90409722680212,15635.550570944642,110.2836495344097,[2.21227018],4,12,0.001057200483046472,52,weighted_maxcut,12,1
3,3908.4298385958264,132411.12312684863,115.36662058664136,28188.990673229444,298.54231045450683,23052.40948838033,139.00116825459128,[4.38114876],4,16,0.000871275900863111,77,weighted_maxcut,12,1
4,5377.446731877007,193426.6497054415,149.49818651261685,35105.14942772405,391.92712979962266,28107.89105086997,178.37435931608633,[5.65474356],5,19,0.0007728934288024902,102,weighted_maxcut,12,1
5,6904.367321419325,259670.8510158351,183.57966603720214,41650.35766453451,489.86503084807777,27886.347420460224,234.1569608100603,[3.29259644],6,22,0.0007069706334732473,127,weighted_maxcut,12,1
6,8475.990105394221,330107.7669110328,217.6331957863414,47883.08220728943,592.3235752766507,30657.64508097888,239.25616554636602,[3.15882125],3,25,0.0006592792342416942,152,weighted_maxcut,12,1
7,10078.15687376242,403582.9518177772,251.66882177427684,53778.66499229385,680.9073334355445,30451.157030533708,341.45240433803565,[2.1289973],8,27,0.0006235863547772169,177,weighted_maxcut,12,1
